Suburb,Council,Post Code,District,Latitude,Longitude,State
Baynton East,Macedon Ranges Shire,3444,Central District,-37.3334,144.6158,Victoria
Bayswater,Knox City,3153,Central District,-37.8989,145.2692,Victoria
Bayswater North,Maroondah City,3153,Central District,-37.8029,145.266,Victoria
Beaconsfield,Cardinia Shire,3807,Central District,-38.15,145.4167,Victoria
Beaconsfield,Casey City,3807,Central District,-38.0952,145.3228,Victoria
Beaconsfield Upper,Cardinia Shire,3808,Central District,-38.15,145.4167,Victoria
Bealiba,Central Goldfields Shire,3475,North Central District,-36.9789,143.7386,Victoria
Bearii,Moira Shire,3641,Northern Country District,-36.0506,145.5381,Victoria
Bears Lagoon,Loddon Shire,3517,Northern Country District,-36.4041,143.8296,Victoria
Beauchamp,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Beauchamp,Swan Hill Rural City,3579,Mallee District,-35.3378,143.5544,Victoria
Beaufort,Pyrenees Shire,3373,South West District,-37.3276,143.3647,Victoria
Beaumaris,Bayside City,3193,Central District,-37.9399,145.0193,Victoria
Beazleys Bridge,Northern Grampians Shire,3477,Wimmera District,-36.8496,142.873,Victoria
Beeac,Colac Otway Shire,3251,South West District,-38.4387,143.5967,Victoria
Beech Forest,Colac Otway Shire,3237,South West District,-38.4387,143.5967,Victoria
Beechworth,Indigo Shire,3747,North East District,-36.2085,146.6863,Victoria
Beenak,Yarra Ranges Shire,3139,Central District,-37.7501,145.7371,Victoria
Belgrave,Yarra Ranges Shire,3160,Central District,-37.7501,145.7371,Victoria
Belgrave Heights,Yarra Ranges Shire,3160,Central District,-37.7501,145.7371,Victoria
Belgrave South,Yarra Ranges Shire,3160,Central District,-37.7501,145.7371,Victoria
Bell Park,Greater Geelong City,3215,Central District,-38.0518,144.4614,Victoria
Bell Post Hill,Greater Geelong City,3215,Central District,-38.0518,144.4614,Victoria
Bellarine,Greater Geelong City,3223,Central District,-38.0518,144.4614,Victoria
Bellbird Creek,East Gippsland Shire,3889,East Gippsland District,-37.3456,148.5829,Victoria
Bellbrae,Surf Coast Shire,3228,Central District,-38.34,144.1153,Victoria
Bellbridge,Towong Shire,3691,North East District,-36.3659,147.6272,Victoria
Bellellen,Northern Grampians Shire,3381,Wimmera District,-36.8496,142.873,Victoria
Bellfield,Banyule City,3081,Central District,-37.7339,145.0858,Victoria
Bells Beach,Surf Coast Shire,3228,Central District,-38.34,144.1153,Victoria
Belmont,Greater Geelong City,3216,Central District,-38.0518,144.4614,Victoria
Bemm River,East Gippsland Shire,3889,East Gippsland District,-37.3456,148.5829,Victoria
Bena,South Gippsland Shire,3946,West & South Gippsland District,-38.699,146.067,Victoria
Benalla,Benalla Rural City,3672,North East District,-36.5904,146.0281,Victoria
Benambra,East Gippsland Shire,3900,East Gippsland District,-37.3456,148.5829,Victoria
Benayeo,West Wimmera Shire,3319,Wimmera District,-36.5992,141.4004,Victoria
Bend Of Islands,Nillumbik Shire,3097,Central District,-37.6147,145.2171,Victoria
Bendigo,Greater Bendigo City,3550,Northern Country District,-36.7228,144.4397,Victoria
Bendoc,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Bengworden,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
Benjeroop,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Benloch,Macedon Ranges Shire,3435,Central District,-37.3334,144.6158,Victoria
Bennison,South Gippsland Shire,3960,West & South Gippsland District,-38.699,146.067,Victoria
Bentleigh,Glen Eira City,3204,Central District,-37.8995,145.041,Victoria
Bentleigh East,Glen Eira City,3165,Central District,-37.8995,145.041,Victoria
Bentleigh East,Glen Eira City,3165,Central District,-37.8995,145.041,Victoria
Benwerrin,Surf Coast Shire,3235,Central District,-38.34,144.1153,Victoria
Beremboke,Moorabool Shire,3342,Central District,-38.0833,144.3,Victoria
Berrimal,Loddon Shire,3518,Northern Country District,-36.4041,143.8296,Victoria
Berringa,Golden Plains Shire,3351,Central District,-37.8523,143.8635,Victoria
Berringama,Towong Shire,3691,North East District,-36.3659,147.6272,Victoria
Berriwillock,Buloke Shire,3531,Mallee District,-35.8464,143.05200000000002,Victoria
Berrybank,Corangamite Shire,3323,South West District,-38.216,143.2354,Victoria
Berrys Creek,South Gippsland Shire,3953,West & South Gippsland District,-38.699,146.067,Victoria
Berwick,Casey City,3806,Central District,-38.0952,145.3228,Victoria
Berwick,Casey City,3806,Central District,-38.0952,145.3228,Victoria
Bessiebelle,Moyne Shire,3304,South West District,-38.1879,142.4622,Victoria
Bet Bet,Central Goldfields Shire,3472,North Central District,-36.9789,143.7386,Victoria
Bete Bolong,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Bete Bolong North,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Bethanga,Towong Shire,3691,North East District,-36.3659,147.6272,Victoria
Betley,Central Goldfields Shire,3472,North Central District,-36.9789,143.7386,Victoria
Beulah,Yarriambiack Shire (North Of Netting Fence),3395,Mallee District,-36.0262,142.4045,Victoria
Beulah,Yarriambiack Shire (South Of Netting Fence),3395,Wimmera District,-36.0262,142.4045,Victoria
Beverford,Swan Hill Rural City,3590,Mallee District,-35.3378,143.5544,Victoria
Beveridge,Mitchell Shire,3753,North Central District,-37.1754,144.98,Victoria
Beveridge,Whittlesea City,3753,Central District,-37.5167,145.1167,Victoria
Big Desert,Mildura Rural City,3490,Mallee District,-34.2,142.15,Victoria
Big Hill,Greater Bendigo City,3555,Northern Country District,-36.7228,144.4397,Victoria
Big Hill,Surf Coast Shire,3231,Central District,-38.34,144.1153,Victoria
Big Pats Creek,Yarra Ranges Shire,3799,Central District,-37.7501,145.7371,Victoria
Biggara,Towong Shire,3707,North East District,-36.3659,147.6272,Victoria
Bimbourie,Buloke Shire,3533,Mallee District,-35.8464,143.05200000000002,Victoria
Bindi,East Gippsland Shire,3896,East Gippsland District,-37.3456,148.5829,Victoria
Binginwarri,Wellington Shire,3966,West & South Gippsland District,-35.35,139.3833,Victoria
Binginwarri,South Gippsland Shire,3966,West & South Gippsland District,-38.699,146.067,Victoria
Bingo Munjie,East Gippsland Shire,3898,East Gippsland District,-37.3456,148.5829,Victoria
Birchip,Buloke Shire,3483,Mallee District,-35.8464,143.05200000000002,Victoria
Birchip West,Buloke Shire,3483,Mallee District,-35.8464,143.05200000000002,Victoria
Birdwoodton,Mildura Rural City,3505,Mallee District,-34.2,142.15,Victoria
Birregurra,Colac Otway Shire,3242,South West District,-38.4387,143.5967,Victoria
Birregurra,Surf Coast Shire,3242,Central District,-38.34,144.1153,Victoria
Bittern,Mornington Peninsula Shire,3918,Central District,-38.3327,144.9566,Victoria
Black Hill,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Black Range,Ararat Rural City,3381,South West District,-37.2833,142.9333,Victoria
Black Range,Northern Grampians Shire,3381,Wimmera District,-36.8496,142.873,Victoria
Black Rock,Bayside City,3193,Central District,-37.9399,145.0193,Victoria
Blackburn,Whitehorse City,3130,Central District,-37.8287,145.1543,Victoria
Blackburn North,Whitehorse City,3130,Central District,-37.8287,145.1543,Victoria
Blackburn South,Whitehorse City,3130,Central District,-37.8287,145.1543,Victoria
Blackheath,Horsham Rural City,3401,Wimmera District,-36.7167,142.2,Victoria
Blackwarry,Wellington Shire,3844,West & South Gippsland District,-35.35,139.3833,Victoria
Blackwood,Moorabool Shire,3458,Central District,-38.0833,144.3,Victoria
Blairgowrie,Mornington Peninsula Shire,3942,Central District,-38.3327,144.9566,Victoria
Blakeville,Moorabool Shire,3342,Central District,-38.0833,144.3,Victoria
