Council,Suburb,Post Code
65,Endeavour Hills,3802
25,Enfield,3352
58,Englefield,3407
28,Ensay,3895
28,Ensay North,3895
42,Eppalock,3551
71,Epping,3076
42,Epsom,3551
7,Ercildoune,3352
24,Ercildoune,3352
4,Erica,3825
67,Eskdale,3701
20,Esmond,3730
3,Essendon,3040
3,Essendon Fields,3041
3,Essendon North,3041
3,Essendon West,3040
65,Eumemmerring,3177
23,Eurack,3251
7,Eureka,3350
37,Euroa,3666
1,Eurobin,3739
18,Evansford,3371
24,Evansford,3371
35,Eversley,3377
39,Everton,3678
39,Everton Upper,3678
10,Exford,3338
10,Eynesbury,3338
9,Fairbank,3951
2,Fairfield,3078
21,Fairfield,3078
11,Fairhaven,3231
31,Fairley,3579
57,Fairy Dell,3561
62,Faraday,3451
5,Fawcett,3714
50,Fawkner,3060
75,Fawkner,3060
32,Fentons Creek,3518
23,Ferguson,3237
18,Fern Hill,3458
46,Fern Hill,3458
12,Fernbank,3864
28,Fernbank,3864
4,Ferndale,3821
32,Fernihurst,3518
63,Ferntree Gully,3156
55,Ferny Creek,3786
10,Fieldstone,3024
32,Fiery Flat,3518
45,Fingal,3939
9,Fish Creek,3959
29,Fish Point,3585
54,Fiskville,3342
2,Fitzroy,3065
75,Fitzroy North,3068
2,Fitzroy North,3068
28,Flaggy Creek,3875
8,Flagstaff,3465
12,Flamingo Beach,3851
77,Flemington,3031
3,Flemington,3031
45,Flinders,3929
42,Flora Hill,3550
5,Flowerdale,3717
12,Flynn,3844
73,Flynn,3844
73,Flynns Creek,3844
12,Flynns Creek,3844
74,Footscray,3011
51,Forbes,3764
59,Forest Hill,3131
28,Forge Creek,3875
23,Forrest,3236
9,Foster,3960
9,Foster North,3960
42,Fosterville,3557
53,Foxhow,3323
16,Framlingham,3265
16,Framlingham East,3265
18,Franklinford,3461
62,Franklinford,3461
78,Frankston,3199
78,Frankston North,3200
78,Frankston South,3199
10,Fraser Rise,3336
1,Freeburgh,3741
24,Frenchmans,3384
